"ID";"RegioS";"Perioden";"PrijsindexBestaandeKoopwoningen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"AantalVerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1870";"PV31  ";"2001KW01";"    86.8";"     0.0";"     6.8";"    2294";"   -35.2";"    -6.6";"  159205";"     365"
"1871";"PV31  ";"2001KW02";"    88.7";"     2.2";"     7.1";"    3160";"    37.8";"     8.9";"  167000";"     528"
"1872";"PV31  ";"2001KW03";"    90.7";"     2.3";"     5.7";"    3439";"     8.8";"    15.7";"  164582";"     566"
"1873";"PV31  ";"2001KW04";"    90.4";"    -0.4";"     4.2";"    3869";"    12.5";"     9.4";"  166099";"     643"
"1874";"PV31  ";"2001JJ00";"    89.1";"     5.9";"     5.9";"   12762";"     7.5";"     7.5";"  164674";"    2102"
"1875";"PV31  ";"2002KW01";"    92.1";"     1.9";"     6.1";"    2824";"   -27.0";"    23.1";"  171252";"     484"
"1876";"PV31  ";"2002KW02";"    93.0";"     1.0";"     4.9";"    3057";"     8.3";"    -3.3";"  171097";"     523"
"1877";"PV31  ";"2002KW03";"    94.8";"     1.9";"     4.5";"    3462";"    13.2";"     0.7";"  180476";"     625"
"1878";"PV31  ";"2002KW04";"    94.6";"    -0.2";"     4.7";"    3541";"     2.3";"    -8.5";"  175389";"     621"
"1879";"PV31  ";"2002JJ00";"    93.6";"     5.0";"     5.0";"   12884";"     1.0";"     1.0";"  174831";"    2253"
"1880";"PV31  ";"2003KW01";"    94.3";"    -0.4";"     2.4";"    2580";"   -27.1";"    -8.6";"  177510";"     458"
"1881";"PV31  ";"2003KW02";"    95.5";"     1.3";"     2.7";"    3043";"    17.9";"    -0.5";"  177182";"     539"
"1882";"PV31  ";"2003KW03";"    95.7";"     0.2";"     1.0";"    3450";"    13.4";"    -0.3";"  177767";"     613"
"1883";"PV31  ";"2003KW04";"    96.5";"     0.8";"     1.9";"    3703";"     7.3";"     4.6";"  180207";"     667"
"1884";"PV31  ";"2003JJ00";"    95.5";"     2.0";"     2.0";"   12776";"    -0.8";"    -0.8";"  178283";"    2278"
"1885";"PV31  ";"2004KW01";"    97.5";"     1.1";"     3.4";"    2334";"   -37.0";"    -9.5";"  179101";"     418"
"1886";"PV31  ";"2004KW02";"    98.9";"     1.4";"     3.6";"    3042";"    30.3";"     0.0";"  184580";"     561"
"1887";"PV31  ";"2004KW03";"   100.3";"     1.4";"     4.8";"    3291";"     8.2";"    -4.6";"  186987";"     615"
"1888";"PV31  ";"2004KW04";"   100.7";"     0.4";"     4.4";"    3690";"    12.1";"    -0.4";"  179756";"     663"
"1889";"PV31  ";"2004JJ00";"    99.4";"     4.1";"     4.1";"   12357";"    -3.3";"    -3.3";"  182746";"    2258"
"1890";"PV31  ";"2005KW01";"    99.5";"    -1.2";"     2.1";"    2573";"   -30.3";"    10.2";"  185927";"     478"
"1891";"PV31  ";"2005KW02";"   100.7";"     1.2";"     1.8";"    3189";"    23.9";"     4.8";"  187975";"     599"
"1892";"PV31  ";"2005KW03";"   102.0";"     1.2";"     1.6";"    3483";"     9.2";"     5.8";"  194038";"     676"
"1893";"PV31  ";"2005KW04";"   102.5";"     0.5";"     1.8";"    3649";"     4.8";"    -1.1";"  194414";"     709"
"1894";"PV31  ";"2005JJ00";"   101.2";"     1.8";"     1.8";"   12894";"     4.3";"     4.3";"  191026";"    2463"
"1895";"PV31  ";"2006KW01";"   102.3";"    -0.2";"     2.8";"    2762";"   -24.3";"     7.3";"  196966";"     544"
"1896";"PV31  ";"2006KW02";"   104.7";"     2.4";"     4.0";"    3282";"    18.8";"     2.9";"  203393";"     668"
"1897";"PV31  ";"2006KW03";"   105.1";"     0.4";"     3.1";"    3287";"     0.2";"    -5.6";"  202208";"     665"
"1898";"PV31  ";"2006KW04";"   104.9";"    -0.2";"     2.4";"    3481";"     5.9";"    -4.6";"  201337";"     701"
"1899";"PV31  ";"2006JJ00";"   104.3";"     3.1";"     3.1";"   12812";"    -0.6";"    -0.6";"  201145";"    2577"
"1900";"PV31  ";"2007KW01";"   106.3";"     1.3";"     4.0";"    2664";"   -23.5";"    -3.5";"  206265";"     549"
"1901";"PV31  ";"2007KW02";"   106.3";"     0.0";"     1.5";"    3039";"    14.1";"    -7.4";"  203979";"     620"
"1902";"PV31  ";"2007KW03";"   107.7";"     1.3";"     2.4";"    3211";"     5.7";"    -2.3";"  211060";"     678"
"1903";"PV31  ";"2007KW04";"   106.5";"    -1.1";"     1.5";"    3537";"    10.2";"     1.6";"  206052";"     729"
"1904";"PV31  ";"2007JJ00";"   106.7";"     2.3";"     2.3";"   12451";"    -2.8";"    -2.8";"  206883";"    2576"
"1905";"PV31  ";"2008KW01";"   108.1";"     1.5";"     1.7";"    2322";"   -34.4";"   -12.8";"  210590";"     489"
"1906";"PV31  ";"2008KW02";"   106.6";"    -1.4";"     0.3";"    2859";"    23.1";"    -5.9";"  207190";"     592"
"1907";"PV31  ";"2008KW03";"   107.3";"     0.7";"    -0.4";"    2792";"    -2.3";"   -13.0";"  211468";"     590"
"1908";"PV31  ";"2008KW04";"   106.8";"    -0.4";"     0.3";"    2805";"     0.5";"   -20.7";"  206666";"     580"
"1909";"PV31  ";"2008JJ00";"   107.2";"     0.5";"     0.5";"   10778";"   -13.4";"   -13.4";"  208894";"    2251"
"1910";"PV31  ";"2009KW01";"   105.4";"    -1.3";"    -2.5";"    1646";"   -41.3";"   -29.1";"  201134";"     331"
"1911";"PV31  ";"2009KW02";"   102.3";"    -2.9";"    -4.0";"    1822";"    10.7";"   -36.3";"  195606";"     356"
"1912";"PV31  ";"2009KW03";"   101.1";"    -1.2";"    -5.8";"    2116";"    16.1";"   -24.2";"  195230";"     413"
"1913";"PV31  ";"2009KW04";"   100.7";"    -0.4";"    -5.7";"    2332";"    10.2";"   -16.9";"  196965";"     459"
"1914";"PV31  ";"2009JJ00";"   102.4";"    -4.5";"    -4.5";"    7916";"   -26.6";"   -26.6";"  197055";"    1560"
"1915";"PV31  ";"2010KW01";"    99.7";"    -1.0";"    -5.5";"    1697";"   -27.2";"     3.1";"  187846";"     319"
"1916";"PV31  ";"2010KW02";"   100.3";"     0.6";"    -2.0";"    1815";"     7.0";"    -0.4";"  199126";"     361"
"1917";"PV31  ";"2010KW03";"   101.0";"     0.8";"     0.0";"    1945";"     7.2";"    -8.1";"  198952";"     387"
"1918";"PV31  ";"2010KW04";"    99.0";"    -2.0";"    -1.7";"    2201";"    13.2";"    -5.6";"  194338";"     428"
"1919";"PV31  ";"2010JJ00";"   100.0";"    -2.3";"    -2.3";"    7658";"    -3.3";"    -3.3";"  195206";"    1495"
"1920";"PV31  ";"2011KW01";"    99.2";"     0.2";"    -0.4";"    1613";"   -26.7";"    -5.0";"  202491";"     327"
"1921";"PV31  ";"2011KW02";"    98.3";"    -0.9";"    -2.0";"    1828";"    13.3";"     0.7";"  196843";"     360"
"1922";"PV31  ";"2011KW03";"    97.4";"    -0.9";"    -3.6";"    1843";"     0.8";"    -5.2";"  201844";"     372"
"1923";"PV31  ";"2011KW04";"    96.3";"    -1.2";"    -2.8";"    2092";"    13.5";"    -5.0";"  192751";"     403"
"1924";"PV31  ";"2011JJ00";"    97.8";"    -2.2";"    -2.2";"    7376";"    -3.7";"    -3.7";"  198167";"    1462"
"1925";"PV31  ";"2012KW01";"    94.5";"    -1.9";"    -4.8";"    1382";"   -33.9";"   -14.3";"  193147";"     267"
"1926";"PV31  ";"2012KW02";"    93.2";"    -1.4";"    -5.2";"    2112";"    52.8";"    15.5";"  198227";"     419"
"1927";"PV31  ";"2012KW03";"    90.0";"    -3.4";"    -7.6";"    1541";"   -27.0";"   -16.4";"  176852";"     273"
"1928";"PV31  ";"2012KW04";"    89.7";"    -0.3";"    -6.8";"    2523";"    63.7";"    20.6";"  188957";"     477"
"1929";"PV31  ";"2012JJ00";"    91.8";"    -6.1";"    -6.1";"    7558";"     2.5";"     2.5";"  189845";"    1435"
"1930";"PV31  ";"2013KW01";"    87.8";"    -2.2";"    -7.1";"    1378";"   -45.4";"    -0.3";"  182989";"     252"
"1931";"PV31  ";"2013KW02";"    85.5";"    -2.5";"    -8.2";"    1391";"     0.9";"   -34.1";"  177174";"     246"
"1932";"PV31  ";"2013KW03";"    86.3";"     0.8";"    -4.2";"    1854";"    33.3";"    20.3";"  176755";"     328"
"1933";"PV31  ";"2013KW04";"    86.0";"    -0.3";"    -4.2";"    2339";"    26.2";"    -7.3";"  180786";"     423"
"1934";"PV31  ";"2013JJ00";"    86.4";"    -5.9";"    -5.9";"    6962";"    -7.9";"    -7.9";"  179427";"    1249"
"1935";"PV31  ";"2014KW01";"    86.6";"     0.7";"    -1.3";"    1625";"   -30.5";"    17.9";"  181769";"     295"
"1936";"PV31  ";"2014KW02";"    87.2";"     0.6";"     1.9";"    1903";"    17.1";"    36.8";"  184172";"     350"
"1937";"PV31  ";"2014KW03";"    88.0";"     0.9";"     2.0";"    2281";"    19.9";"    23.0";"  188832";"     431"
"1938";"PV31  ";"2014KW04";"    87.8";"    -0.2";"     2.2";"    3246";"    42.3";"    38.8";"  188338";"     611"
"1939";"PV31  ";"2014JJ00";"    87.4";"     1.2";"     1.2";"    9055";"    30.1";"    30.1";"  186408";"    1688"
"1940";"PV31  ";"2015KW01";"    88.0";"     0.1";"     1.6";"    1808";"   -44.3";"    11.3";"  183576";"     332"
"1941";"PV31  ";"2015KW02";"    88.6";"     0.7";"     1.6";"    2332";"    29.0";"    22.5";"  192183";"     448"
"1942";"PV31  ";"2015KW03";"    90.0";"     1.6";"     2.3";"    2919";"    25.2";"    28.0";"  193702";"     565"
"1943";"PV31  ";"2015KW04";"    89.7";"    -0.4";"     2.1";"    3109";"     6.5";"    -4.2";"  194605";"     605"
"1944";"PV31  ";"2015JJ00";"    89.1";"     1.9";"     1.9";"   10168";"    12.3";"    12.3";"  191829";"    1951"
"1945";"PV31  ";"2016KW01";"    90.7";"     1.2";"     3.1";"    2281";"   -26.6";"    26.2";"  193182";"     441"
"1946";"PV31  ";"2016KW02";"    92.0";"     1.4";"     3.8";"    2801";"    22.8";"    20.1";"  197114";"     552"
"1947";"PV31  ";"2016KW03";"    93.7";"     1.9";"     4.1";"    3540";"    26.4";"    21.3";"  202050";"     715"
"1948";"PV31  ";"2016KW04";"    94.4";"     0.7";"     5.3";"    3739";"     5.6";"    20.3";"  201621";"     754"
"1949";"PV31  ";"2016JJ00";"    92.7";"     4.1";"     4.1";"   12361";"    21.6";"    21.6";"  199165";"    2462"
"1950";"PV31  ";"2017KW01";"    95.3";"     1.0";"     5.1";"    3129";"   -16.3";"    37.2";"  207371";"     649"
"1951";"PV31  ";"2017KW02";"    96.4";"     1.1";"     4.8";"    3522";"    12.6";"    25.7";"  210789";"     742"
"1952";"PV31  ";"2017KW03";"    97.8";"     1.5";"     4.4";"    3767";"     7.0";"     6.4";"  215734";"     813"
"1953";"PV31  ";"2017KW04";"    99.2";"     1.5";"     5.2";"    4257";"    13.0";"    13.9";"  216273";"     921"
"1954";"PV31  ";"2017JJ00";"    97.2";"     4.8";"     4.8";"   14675";"    18.7";"    18.7";"  212920";"    3125"
